13	0209	0448	+1.4	0756	1130	-2.4	1429	1712	+1.5	2021	 	 	 	 	 
14	 	0002	-2.5	0305	0545	+1.4	0851	1227	-2.4	1523	1807	+1.5	2114	 	 
15	 	0057	-2.5	0358	0638	+1.5	0943	1320	-2.5	1614	1858	+1.5	2205	 	 
16	 	0148	-2.5	0448	0727	+1.5	1033	1408	-2.5	1703	1946	+1.5	2254	 	 
17	 	0235	-2.5	0536	0814	+1.5	1120	1454	-2.4	1751	2032	+1.5	2341	 	 
18	 	0319	-2.5	0622	0859	+1.4	1206	1537	-2.4	1837	2117	+1.4	 	 	 
19	0027	0401	-2.4	0708	0943	+1.4	1252	1619	-2.3	1924	2201	+1.4	 	 	 
20	0112	0442	-2.4	0753	1026	+1.3	1337	1701	-2.2	2010	2245	+1.3	 	 	 
21	0158	0524	-2.2	0839	1110	+1.3	1422	1744	-2.2	2057	2330	+1.2	 	 	 
22	0244	0608	-2.2	0925	1155	+1.2	1508	1829	-2.1	2145	 	 	 	 	 
23	 	0017	+1.2	0331	0653	-2.1	1012	1242	+1.2	1556	1916	-2.1	2235	 	 
24	 	0106	+1.2	0420	0741	-2.1	1101	1331	+1.2	1646	2006	-2.0	2326	 	 
25	 	0157	+1.1	0511	0831	-2.0	1151	1421	+1.2	1736	2057	-2.1	 	 	 
26	0018	0248	+1.2	0602	0922	-2.0	1239	1511	+1.2	1825	2149	-2.1	 	 	 
27	0108	0339	+1.2	0653	1013	-2.1	1327	1600	+1.2	1915	2240	-2.2	 	 	 
28	0157	0428	+1.2	0742	1103	-2.2	1413	1648	+1.3	2002	2330	-2.3	 	 	 
29	0244	0516	+1.3	0830	1152	-2.2	1458	1734	+1.4	2049	 	 	 	 	 
30	 	0018	-2.4	0330	0602	+1.4	0916	1239	-2.4	1542	1819	+1.4	2136	 	 
1	 	0105	-2.5	0415	0647	+1.4	1002	1326	-2.4	1627	1905	+1.5	2222	 	 
2	 	0152	-2.5	0500	0732	+1.5	1048	1413	-2.5	1712	1951	+1.5	2309	 	 
3	 	0240	-2.5	0546	0819	+1.5	1135	1501	-2.5	1800	2039	+1.5	2357	 	 
4	 	0328	-2.6	0633	0906	+1.5	1223	1550	-2.5	1849	2128	+1.5	 	 	 
5	0047	0417	-2.5	0722	0956	+1.5	1313	1640	-2.5	1941	2220	+1.5	 	 	 
6	0139	0508	-2.5	0813	1048	+1.5	1406	1733	-2.5	2038	2315	+1.5	 	 	 
7	0234	0601	-2.5	0909	1144	+1.4	1502	1829	-2.4	2138	 	 	 	 	 
8	 	0013	+1.4	0333	0658	-2.4	1007	1243	+1.4	1602	1929	-2.4	2241	 	 
9	 	0117	+1.4	0434	0759	-2.3	1109	1347	+1.4	1704	2033	-2.3	2347	 	 
10	 	0224	+1.3	0537	0904	-2.2	1212	1453	+1.4	1806	2140	-2.3	 	 	 
11	0051	0331	+1.3	0639	1011	-2.2	1313	1558	+1.4	1907	2248	-2.3	 	 	 
12	0152	0434	+1.4	0738	1116	-2.2	1411	1658	+1.4	2005	2351	-2.4	 	 	 
13	0248	0532	+1.4	0834	1215	-2.3	1506	1753	+1.4	2058	 	 	 	 	 
14	 	0046	-2.4	0340	0623	+1.4	0925	1307	-2.4	1556	1843	+1.5	2148	 	 
15	 	0134	-2.4	0428	0710	+1.4	1013	1352	-2.4	1643	1928	+1.5	2235	 	 
16	 	0217	-2.4	0513	0754	+1.4	1058	1433	-2.4	1728	2011	+1.5	2320	 	 
17	 	0256	-2.4	0556	0835	+1.4	1142	1512	-2.4	1811	2052	+1.4	 	 	 
18	0003	0334	-2.4	0638	0914	+1.4	1224	1550	-2.4	1852	2131	+1.4	 	 	 
19	0045	0411	-2.4	0718	0953	+1.4	1305	1628	-2.3	1934	2210	+1.4	 	 	 
20	0127	0450	-2.3	0759	1032	+1.3	1347	1708	-2.2	2016	2251	+1.3	 	 	 
21	0209	0530	-2.2	0840	1112	+1.3	1430	1750	-2.2	2059	2333	+1.3	 	 	 
22	0253	0612	-2.2	0923	1155	+1.2	1514	1834	-2.1	2144	 	 	 	 	 
23	 	0018	+1.2	0339	0658	-2.1	1008	1241	+1.2	1602	1921	-2.1	2233	 	 
24	 	0107	+1.2	0429	0746	-2.1	1056	1330	+1.2	1652	2012	-2.1	2326	 	 
25	 	0159	+1.2	0520	0837	-2.0	1147	1423	+1.2	1744	2105	-2.1	 	 	 
26	0020	0253	+1.2	0614	0931	-2.1	1239	1517	+1.2	1838	2200	-2.1	 	 	 
27	0114	0348	+1.2	0707	1025	-2.1	1331	1610	+1.3	1931	2255	-2.2	 	 	 
28	0207	0441	+1.3	0759	1119	-2.2	1422	1703	+1.4	2023	2349	-2.4	 	 	 
29	0257	0533	+1.4	0850	1212	-2.4	1512	1754	+1.4	2114	 	 	 	 	 
30	 	0041	-2.5	0346	0622	+1.4	0939	1303	-2.5	1601	1843	+1.5	2204	 	 
31	 	0131	-2.5	0435	0711	+1.5	1028	1353	-2.5	1651	1933	+1.6	2253	 	 
1	 	0221	-2.6	0522	0759	+1.6	1117	1443	-2.5	1740	2022	+1.6	2343	 	 
2	 	0310	-2.6	0611	0848	+1.6	1207	1533	-2.6	1831	2113	+1.6	 	 	 
3	0034	0400	-2.6	0700	0938	+1.6	1257	1624	-2.5	1924	2204	+1.6	 	 	 
4	0126	0451	-2.5	0752	1031	+1.6	1351	1716	-2.5	2019	2259	+1.5	 	 	 
5	0221	0544	-2.5	0846	1126	+1.5	1446	1812	-2.5	2118	2357	+1.4	 	 	 
6	0318	0640	-2.4	0945	1225	+1.4	1546	1911	-2.4	2220	 	 	 	 	 
7	 	0100	+1.4	0419	0741	-2.2	1046	1330	+1.4	1648	2015	-2.2	2325	 	 
8	 	0208	+1.3	0522	0847	-2.1	1150	1438	+1.3	1751	2126	-2.2	 	 	 
9	0030	0317	+1.3	0625	0958	-2.1	1253	1545	+1.4	1853	2239	-2.2	 	 	 
10	0132	0421	+1.3	0724	1107	-2.1	1352	1646	+1.4	1951	2343	-2.2	 	 	 
11	0228	0517	+1.4	0819	1206	-2.2	1446	1739	+1.4	2044	 	 	 	 	 
12	 	0035	-2.2	0318	0607	+1.4	0908	1254	-2.2	1534	1826	+1.4	2132	 	 
13	 	0119	-2.3	0403	0650	+1.4	0954	1334	-2.3	1619	1909	+1.5	2217	 	 
14	 	0156	-2.3	0445	0730	+1.4	1036	1410	-2.3	1700	1947	+1.5	2258	 	 
15	 	0231	-2.4	0525	0807	+1.4	1117	1444	-2.4	1740	2024	+1.5	2338	 	 
16	 	0304	-2.4	0603	0842	+1.4	1156	1519	-2.4	1818	2100	+1.5	 	 	 
17	0018	0339	-2.4	0640	0918	+1.4	1235	1555	-2.3	1856	2136	+1.4	 	 	 
18	0057	0415	-2.3	0717	0954	+1.4	1314	1633	-2.3	1934	2213	+1.4	 	 	 
19	0137	0454	-2.2	0754	1032	+1.4	1354	1713	-2.2	2013	2253	+1.4	 	 	 
20	0219	0535	-2.2	0833	1113	+1.3	1436	1755	-2.2	2055	2336	+1.3	 	 	 
21	0303	0619	-2.1	0915	1157	+1.2	1522	1842	-2.1	2141	 	 	 	 	 
22	 	0023	+1.2	0351	0706	-2.0	1001	1246	+1.2	1612	1932	-2.1	2234	 	 
23	 	0116	+1.2	0443	0758	-2.0	1054	1340	+1.2	1708	2027	-2.1	2332	 	 
24	 	0212	+1.2	0540	0854	-2.0	1152	1438	+1.2	1806	2125	-2.1	 	 	 
25	0032	0312	+1.2	0637	0952	-2.1	1252	1538	+1.3	1904	2224	-2.2	 	 	 
26	0130	0410	+1.3	0733	1050	-2.2	1350	1636	+1.4	2000	2322	-2.3	 	 	 
27	0226	0506	+1.4	0827	1147	-2.4	1445	1731	+1.5	2054	 	 	 	 	 
28	 	0017	-2.4	0318	0559	+1.5	0919	1242	-2.5	1538	1824	+1.6	2146	 	 
29	 	0110	-2.5	0409	0650	+1.6	1009	1334	-2.5	1630	1915	+1.6	2237	 	 
30	 	0202	-2.6	0458	0740	+1.6	1059	1425	-2.6	1721	2005	+1.7	2328	 	 
31	 	0252	-2.6	0547	0829	+1.7	1149	1515	-2.6	1812	2056	+1.7	 	 	 
